Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
66,1497949535.0,2017-06-20 09:05:35,1,0.87892,0.87892,0.87892,0.87892,0.87898,0.87898,0.87898,0.87898,0.87885,0.87885,0.87885,0.87885,
67,1497949540.0,2017-06-20 09:05:40,1,0.87894,0.87894,0.87894,0.87894,0.879,0.879,0.879,0.879,0.87887,0.87887,0.87887,0.87887,
68,1497949545.0,2017-06-20 09:05:45,1,0.87896,0.87896,0.87896,0.87896,0.87903,0.87903,0.87903,0.87903,0.87889,0.87889,0.87889,0.87889,
69,1497949575.0,2017-06-20 09:06:15,1,0.87894,0.87894,0.87894,0.87894,0.879,0.879,0.879,0.879,0.87887,0.87887,0.87887,0.87887,
70,1497949590.0,2017-06-20 09:06:30,4,0.87891,0.87897,0.87891,0.87897,0.87898,0.87903,0.87898,0.87903,0.87884,0.87891,0.87884,0.87891,
71,1497949600.0,2017-06-20 09:06:40,1,0.87899,0.87899,0.87899,0.87899,0.87906,0.87906,0.87906,0.87906,0.87893,0.87893,0.87893,0.87893,
72,1497949605.0,2017-06-20 09:06:45,1,0.87902,0.87902,0.87902,0.87902,0.87909,0.87909,0.87909,0.87909,0.87895,0.87895,0.87895,0.87895,
73,1497949615.0,2017-06-20 09:06:55,1,0.879,0.879,0.879,0.879,0.87907,0.87907,0.87907,0.87907,0.87893,0.87893,0.87893,0.87893,
74,1497949620.0,2017-06-20 09:07:00,1,0.87898,0.87898,0.87898,0.87898,0.87905,0.87905,0.87905,0.87905,0.87891,0.87891,0.87891,0.87891,
75,1497949625.0,2017-06-20 09:07:05,1,0.87895,0.87895,0.87895,0.87895,0.87903,0.87903,0.87903,0.87903,0.87888,0.87888,0.87888,0.87888,
76,1497949635.0,2017-06-20 09:07:15,2,0.87898,0.87901,0.87898,0.87901,0.87905,0.87908,0.87905,0.87908,0.8789,0.87893,0.8789,0.87893,
77,1497949640.0,2017-06-20 09:07:20,1,0.87899,0.87899,0.87899,0.87899,0.87905,0.87905,0.87905,0.87905,0.87892,0.87892,0.87892,0.87892,
78,1497949645.0,2017-06-20 09:07:25,1,0.87901,0.87901,0.87901,0.87901,0.87908,0.87908,0.87908,0.87908,0.87894,0.87894,0.87894,0.87894,
79,1497949660.0,2017-06-20 09:07:40,1,0.87904,0.87904,0.87904,0.87904,0.8791,0.8791,0.8791,0.8791,0.87897,0.87897,0.87897,0.87897,
80,1497949685.0,2017-06-20 09:08:05,3,0.87901,0.87897,0.87897,0.87901,0.87908,0.87904,0.87904,0.87908,0.87895,0.8789,0.8789,0.87895,
81,1497949690.0,2017-06-20 09:08:10,1,0.87899,0.87899,0.87899,0.87899,0.87907,0.87907,0.87907,0.87907,0.87892,0.87892,0.87892,0.87892,
82,1497949695.0,2017-06-20 09:08:15,4,0.87902,0.879,0.879,0.87904,0.87909,0.87907,0.87907,0.87911,0.87895,0.87893,0.87893,0.87897,
83,1497949700.0,2017-06-20 09:08:20,1,0.87898,0.87898,0.87898,0.87898,0.87905,0.87905,0.87905,0.87905,0.87891,0.87891,0.87891,0.87891,
84,1497949710.0,2017-06-20 09:08:30,1,0.87895,0.87895,0.87895,0.87895,0.87902,0.87902,0.87902,0.87902,0.87889,0.87889,0.87889,0.87889,
85,1497949720.0,2017-06-20 09:08:40,2,0.87898,0.879,0.87898,0.879,0.87906,0.87907,0.87906,0.87907,0.8789,0.87893,0.8789,0.87893,
86,1497949725.0,2017-06-20 09:08:45,1,0.87902,0.87902,0.87902,0.87902,0.87909,0.87909,0.87909,0.87909,0.87895,0.87895,0.87895,0.87895,
87,1497949735.0,2017-06-20 09:08:55,3,0.879,0.87901,0.87898,0.87901,0.87907,0.87908,0.87905,0.87908,0.87893,0.87893,0.87891,0.87893,
88,1497949820.0,2017-06-20 09:10:20,3,0.87903,0.87908,0.87903,0.87908,0.8791,0.87915,0.8791,0.87915,0.87896,0.879,0.87896,0.879,
89,1497949825.0,2017-06-20 09:10:25,1,0.87905,0.87905,0.87905,0.87905,0.87913,0.87913,0.87913,0.87913,0.87898,0.87898,0.87898,0.87898,
90,1497949840.0,2017-06-20 09:10:40,4,0.87908,0.879,0.879,0.87908,0.87915,0.87908,0.87908,0.87915,0.879,0.87892,0.87892,0.879,
91,1497949855.0,2017-06-20 09:10:55,1,0.87902,0.87902,0.87902,0.87902,0.8791,0.8791,0.8791,0.8791,0.87894,0.87894,0.87894,0.87894,
92,1497949865.0,2017-06-20 09:11:05,1,0.87904,0.87904,0.87904,0.87904,0.87911,0.87911,0.87911,0.87911,0.87897,0.87897,0.87897,0.87897,
93,1497949870.0,2017-06-20 09:11:10,1,0.87906,0.87906,0.87906,0.87906,0.87914,0.87914,0.87914,0.87914,0.87899,0.87899,0.87899,0.87899,
94,1497949880.0,2017-06-20 09:11:20,1,0.87909,0.87909,0.87909,0.87909,0.87916,0.87916,0.87916,0.87916,0.87902,0.87902,0.87902,0.87902,
95,1497949895.0,2017-06-20 09:11:35,1,0.87907,0.87907,0.87907,0.87907,0.87913,0.87913,0.87913,0.87913,0.87901,0.87901,0.87901,0.87901,
96,1497949905.0,2017-06-20 09:11:45,1,0.87904,0.87904,0.87904,0.87904,0.87911,0.87911,0.87911,0.87911,0.87898,0.87898,0.87898,0.87898,
97,1497949915.0,2017-06-20 09:11:55,1,0.87902,0.87902,0.87902,0.87902,0.87909,0.87909,0.87909,0.87909,0.87896,0.87896,0.87896,0.87896,
98,1497949935.0,2017-06-20 09:12:15,1,0.87905,0.87905,0.87905,0.87905,0.87912,0.87912,0.87912,0.87912,0.87897,0.87897,0.87897,0.87897,
99,1497949955.0,2017-06-20 09:12:35,1,0.87907,0.87907,0.87907,0.87907,0.87915,0.87915,0.87915,0.87915,0.87899,0.87899,0.87899,0.87899,
100,1497949965.0,2017-06-20 09:12:45,1,0.87909,0.87909,0.87909,0.87909,0.87916,0.87916,0.87916,0.87916,0.87902,0.87902,0.87902,0.87902,
101,1497949980.0,2017-06-20 09:13:00,1,0.87907,0.87907,0.87907,0.87907,0.87914,0.87914,0.87914,0.87914,0.879,0.879,0.879,0.879,
102,1497949985.0,2017-06-20 09:13:05,1,0.87905,0.87905,0.87905,0.87905,0.87912,0.87912,0.87912,0.87912,0.87898,0.87898,0.87898,0.87898,
103,1497950000.0,2017-06-20 09:13:20,2,0.87908,0.87911,0.87908,0.87911,0.87915,0.87918,0.87915,0.87918,0.879,0.87903,0.879,0.87903,
104,1497950010.0,2017-06-20 09:13:30,1,0.87913,0.87913,0.87913,0.87913,0.8792,0.8792,0.8792,0.8792,0.87906,0.87906,0.87906,0.87906,
105,1497950015.0,2017-06-20 09:13:35,1,0.87915,0.87915,0.87915,0.87915,0.87922,0.87922,0.87922,0.87922,0.87908,0.87908,0.87908,0.87908,
106,1497950020.0,2017-06-20 09:13:40,1,0.87918,0.87918,0.87918,0.87918,0.87925,0.87925,0.87925,0.87925,0.8791,0.8791,0.8791,0.8791,
107,1497950035.0,2017-06-20 09:13:55,2,0.8792,0.87923,0.8792,0.87923,0.87926,0.87929,0.87926,0.87929,0.87914,0.87916,0.87914,0.87916,
108,1497950055.0,2017-06-20 09:14:15,1,0.87921,0.87921,0.87921,0.87921,0.87927,0.87927,0.87927,0.87927,0.87914,0.87914,0.87914,0.87914,
109,1497950065.0,2017-06-20 09:14:25,1,0.87918,0.87918,0.87918,0.87918,0.87925,0.87925,0.87925,0.87925,0.87911,0.87911,0.87911,0.87911,
110,1497950110.0,2017-06-20 09:15:10,2,0.87916,0.87918,0.87916,0.87918,0.87923,0.87925,0.87923,0.87925,0.87909,0.87911,0.87909,0.87911,
111,1497950120.0,2017-06-20 09:15:20,1,0.87915,0.87915,0.87915,0.87915,0.87923,0.87923,0.87923,0.87923,0.87908,0.87908,0.87908,0.87908,
112,1497950125.0,2017-06-20 09:15:25,1,0.87918,0.87918,0.87918,0.87918,0.87925,0.87925,0.87925,0.87925,0.8791,0.8791,0.8791,0.8791,
113,1497950135.0,2017-06-20 09:15:35,1,0.8792,0.8792,0.8792,0.8792,0.87927,0.87927,0.87927,0.87927,0.87913,0.87913,0.87913,0.87913,
114,1497950160.0,2017-06-20 09:16:00,1,0.87918,0.87918,0.87918,0.87918,0.87925,0.87925,0.87925,0.87925,0.87911,0.87911,0.87911,0.87911,
115,1497950165.0,2017-06-20 09:16:05,5,0.8792,0.87929,0.8792,0.87929,0.87927,0.87936,0.87927,0.87936,0.87913,0.87921,0.87913,0.87921,
116,1497950170.0,2017-06-20 09:16:10,4,0.87932,0.87925,0.87925,0.87932,0.87938,0.87932,0.87932,0.87938,0.87925,0.87918,0.87918,0.87925,
117,1497950175.0,2017-06-20 09:16:15,3,0.87927,0.87926,0.87926,0.87929,0.87933,0.87933,0.87933,0.87936,0.87921,0.8792,0.8792,0.87923,
118,1497950190.0,2017-06-20 09:16:30,2,0.87929,0.87931,0.87929,0.87931,0.87936,0.87938,0.87936,0.87938,0.87922,0.87924,0.87922,0.87924,
119,1497950195.0,2017-06-20 09:16:35,2,0.87929,0.87927,0.87927,0.87929,0.87936,0.87935,0.87935,0.87936,0.87922,0.87919,0.87919,0.87922,
120,1497950200.0,2017-06-20 09:16:40,1,0.87929,0.87929,0.87929,0.87929,0.87936,0.87936,0.87936,0.87936,0.87922,0.87922,0.87922,0.87922,
121,1497950205.0,2017-06-20 09:16:45,2,0.87931,0.87934,0.87931,0.87934,0.87938,0.87941,0.87938,0.87941,0.87924,0.87927,0.87924,0.87927,
122,1497950215.0,2017-06-20 09:16:55,2,0.87931,0.87929,0.87929,0.87931,0.8794,0.87937,0.87937,0.8794,0.87923,0.87922,0.87922,0.87923,
123,1497950225.0,2017-06-20 09:17:05,1,0.87927,0.87927,0.87927,0.87927,0.87934,0.87934,0.87934,0.87934,0.8792,0.8792,0.8792,0.8792,
124,1497950230.0,2017-06-20 09:17:10,2,0.87925,0.87923,0.87923,0.87925,0.87932,0.87931,0.87931,0.87932,0.87918,0.87915,0.87915,0.87918,
125,1497950245.0,2017-06-20 09:17:25,1,0.87921,0.87921,0.87921,0.87921,0.87928,0.87928,0.87928,0.87928,0.87913,0.87913,0.87913,0.87913,
126,1497950285.0,2017-06-20 09:18:05,1,0.87923,0.87923,0.87923,0.87923,0.87929,0.87929,0.87929,0.87929,0.87916,0.87916,0.87916,0.87916,
127,1497950310.0,2017-06-20 09:18:30,1,0.87925,0.87925,0.87925,0.87925,0.87931,0.87931,0.87931,0.87931,0.87918,0.87918,0.87918,0.87918,
128,1497950340.0,2017-06-20 09:19:00,1,0.87928,0.87928,0.87928,0.87928,0.87934,0.87934,0.87934,0.87934,0.87921,0.87921,0.87921,0.87921,
